Entity,Code,Year,MaleFemaleRatio
Bulgaria,BGR,1997,2.590735222
Canada,CAN,1997,3.922756202
Chile,CHL,1997,6.173814929
Colombia,COL,1997,4.064731246
Costa Rica,CRI,1997,6.175638305
Croatia,HRV,1997,3.458162881
Cuba,CUB,1997,2.215708641
Czech Republic,CZE,1997,4.365695423
Denmark,DNK,1997,2.405481154
Estonia,EST,1997,6.603741922
Finland,FIN,1997,3.953356022
France,FRA,1997,2.93738348
Georgia,GEO,1997,4.782753282
Germany,DEU,1997,3.183880734
Greece,GRC,1997,6.571657279
Guatemala,GTM,1997,3.81306972
Hungary,HUN,1997,3.902185121
Ireland,IRL,1997,4.390019628
Israel,ISR,1997,4.473137504
Italy,ITA,1997,3.501540283
Japan,JPN,1997,2.433664805
Kazakhstan,KAZ,1997,5.786206699
Kuwait,KWT,1997,0.641518079
Kyrgyzstan,KGZ,1997,5.111785521
Latvia,LVA,1997,5.34020681
Lithuania,LTU,1997,6.041508186
Macedonia,MKD,1997,2.958392478
Mauritius,MUS,1997,5.158883673
Mexico,MEX,1997,6.142243065
Moldova,MDA,1997,5.145916808
Netherlands,NLD,1997,2.141359489
New Zealand,NZL,1997,3.740708262
Norway,NOR,1997,2.738085131
Panama,PAN,1997,5.761552689
Paraguay,PRY,1997,2.273737118
Philippines,PHL,1997,2.946030441
Portugal,PRT,1997,3.857569938
Romania,ROU,1997,5.622819688
Russia,RUS,1997,6.132208127
Serbia and Montenegro,OWID_SRM,1997,2.466565512
Singapore,SGP,1997,1.998623254
Slovakia,SVK,1997,5.775233249
Slovenia,SVN,1997,4.60157148
South Korea,KOR,1997,2.47781302
Spain,ESP,1997,3.458765349
Sweden,SWE,1997,2.536467171
Switzerland,CHE,1997,3.048162237
Trinidad and Tobago,TTO,1997,4.629017144
Turkmenistan,TKM,1997,3.895862298
Ukraine,UKR,1997,5.92476558
United Kingdom,GBR,1997,3.676426246
United States,USA,1997,4.328221039
Uruguay,URY,1997,4.628014955
Uzbekistan,UZB,1997,3.959936882
Venezuela,VEN,1997,4.940247554
Argentina,ARG,1996,3.598924279
Australia,AUS,1996,4.390270908
Austria,AUT,1996,3.792497252
Azerbaijan,AZE,1996,4.969132491
Brazil,BRA,1996,4.09233042
Bulgaria,BGR,1996,3.205903789
Canada,CAN,1996,3.779624528
Chile,CHL,1996,6.997663442
Colombia,COL,1996,4.537959706
Costa Rica,CRI,1996,8.253902975
Croatia,HRV,1996,3.563932753
Cuba,CUB,1996,2.028845034
Czech Republic,CZE,1996,4.252806884
Denmark,DNK,1996,2.705085622
Estonia,EST,1996,5.628900636
Finland,FIN,1996,3.67799417
France,FRA,1996,2.939794121
Georgia,GEO,1996,4.29786186
Germany,DEU,1996,3.089283153
Greece,GRC,1996,5.463403119
Guatemala,GTM,1996,5.104404103
Hungary,HUN,1996,3.726443329
Ireland,IRL,1996,5.545280733
Israel,ISR,1996,3.412681089
Italy,ITA,1996,3.275925813
Japan,JPN,1996,2.390442313
Kazakhstan,KAZ,1996,5.790490857
Kuwait,KWT,1996,1.245782034
Kyrgyzstan,KGZ,1996,5.392789219
Latvia,LVA,1996,5.481729687
Lithuania,LTU,1996,5.388926901
Macedonia,MKD,1996,2.586665682
Mauritius,MUS,1996,3.254750022
Mexico,MEX,1996,6.09754045
Moldova,MDA,1996,5.442049348
Netherlands,NLD,1996,2.093748039
New Zealand,NZL,1996,3.865171331
Norway,NOR,1996,3.008825582
Panama,PAN,1996,6.6245573
Paraguay,PRY,1996,2.662705255
Poland,POL,1996,5.638176042
Portugal,PRT,1996,3.667463837
Romania,ROU,1996,5.46655911
Russia,RUS,1996,6.334221423
Singapore,SGP,1996,1.828977731
Slovakia,SVK,1996,6.129182877
Slovenia,SVN,1996,3.707195471
South Korea,KOR,1996,2.445267067
Spain,ESP,1996,3.177589115
Sweden,SWE,1996,2.460512223
Switzerland,CHE,1996,2.765558322
Trinidad and Tobago,TTO,1996,3.811061268
Turkmenistan,TKM,1996,4.093497894
Ukraine,UKR,1996,6.351486429
United Kingdom,GBR,1996,3.566684213
United States,USA,1996,4.500292455
Uruguay,URY,1996,4.041175084
Uzbekistan,UZB,1996,4.090245959
Venezuela,VEN,1996,6.005156207
Argentina,ARG,1995,3.80510109
Australia,AUS,1995,3.795164862
Austria,AUT,1995,3.682254871
Azerbaijan,AZE,1995,8.228255413
Belarus,BLR,1995,6.719156595
Belgium,BEL,1995,2.87154357
Brazil,BRA,1995,3.973183318
Bulgaria,BGR,1995,2.939815712
Canada,CAN,1995,3.968072106
Chile,CHL,1995,6.962118286
Colombia,COL,1995,4.030373345
Costa Rica,CRI,1995,4.74131232
Croatia,HRV,1995,3.529472929
Cuba,CUB,1995,1.735289882
Czech Republic,CZE,1995,3.610866915
Denmark,DNK,1995,2.469259247
Estonia,EST,1995,5.04218663
Finland,FIN,1995,3.715897294
France,FRA,1995,3.011295111
Georgia,GEO,1995,4.098114475
Germany,DEU,1995,3.138294665
Greece,GRC,1995,5.160333134
Guatemala,GTM,1995,3.822244459
Hungary,HUN,1995,3.649964573
Ireland,IRL,1995,3.842788824
Israel,ISR,1995,2.930055064
Italy,ITA,1995,3.504186907
Japan,JPN,1995,2.32468112
Kazakhstan,KAZ,1995,5.612378319
Kuwait,KWT,1995,2.44401417
Kyrgyzstan,KGZ,1995,3.805940286
Latvia,LVA,1995,5.510127739
Lithuania,LTU,1995,5.773701395
Macedonia,MKD,1995,1.998459051
Mauritius,MUS,1995,3.59708454
Mexico,MEX,1995,6.598261806
Moldova,MDA,1995,4.047241939
Netherlands,NLD,1995,2.072794858
New Zealand,NZL,1995,3.850682082
Norway,NOR,1995,3.090383228
Paraguay,PRY,1995,2.917153501
Poland,POL,1995,5.536415135
Portugal,PRT,1995,2.94629259
Romania,ROU,1995,4.707042145
Russia,RUS,1995,6.011024312
Singapore,SGP,1995,1.775757486
Slovakia,SVK,1995,5.452473038
Slovenia,SVN,1995,4.039666478
South Korea,KOR,1995,2.406976176
Spain,ESP,1995,3.718731995
Sweden,SWE,1995,2.443599335
Switzerland,CHE,1995,2.861949668
Trinidad and Tobago,TTO,1995,4.303881741
Turkmenistan,TKM,1995,4.317857275
Ukraine,UKR,1995,6.18717532
United Kingdom,GBR,1995,3.947747658
United States,USA,1995,4.634085962
Uruguay,URY,1995,3.515662232
Uzbekistan,UZB,1995,3.763927764
Argentina,ARG,1994,3.800803272
Australia,AUS,1994,4.616697324
Austria,AUT,1994,3.093932402
Azerbaijan,AZE,1994,1.994507757
Belarus,BLR,1994,5.924085239
Belgium,BEL,1994,2.972672268
